,candidate,cnpj,date,department,expense,partido,provider,sequential_id,value
20,ABOU ANNI,67.933.200/0001-78,2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,ITALIVROS - LIVRARIA E PAPELARIA LTDA.,250000011625.0,7580.0
21,ABOU ANNI,02.558.157/0001-62,2017-04-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,196.35
22,ABOU ANNI,18.811.994/0001-91,2017-05-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,1050.0
23,ABOU ANNI,61.990.693/0001-00,2017-05-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,AUTO POSTO PIRAI LTDA.,250000011625.0,155.51
24,ABOU ANNI,18.588.528/0001-99,2017-05-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,7840.0
25,ABOU ANNI,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,18220.48
26,ABOU ANNI,06.226.820/0001-82,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,CENTER PAPEIS COMERCIAL LTDA.,250000011625.0,656.35
27,ABOU ANNI,19.367.661/0001-88,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,250000011625.0,2187.0
28,ABOU ANNI,43.283.811/0139-95,2017-05-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,250000011625.0,73.5
29,ABOU ANNI,02.558.157/0001-62,2017-05-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,197.69
30,ABOU ANNI,18.811.994/0001-91,2017-06-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,700.0
31,ABOU ANNI,18.588.528/0001-99,2017-06-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,7888.0
32,ABOU ANNI,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,34083.08
33,ABOU ANNI,19.367.661/0001-88,2017-06-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,250000011625.0,2187.0
34,ABOU ANNI,02.558.157/0001-62,2017-06-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PV,TELEFONICA BRASIL S/A,250000011625.0,201.33
35,ABOU ANNI,18.811.994/0001-91,2017-07-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,350.0
36,ABOU ANNI,61.990.693/0001-00,2017-07-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,AUTO POSTO PIRAI LTDA.,250000011625.0,100.0
37,ABOU ANNI,18.588.528/0001-99,2017-07-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,7236.0
38,ABOU ANNI,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,34530.36
39,ABOU ANNI,06.226.820/0001-82,2017-07-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PV,CENTER PAPEIS COMERCIAL LTDA.,250000011625.0,219.5
40,ABOU ANNI,18.811.994/0001-91,2017-08-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,250000011625.0,150.0
41,ABOU ANNI,61.990.693/0001-00,2017-08-01,GABINETE DE VEREADOR,COMBUSTIVEL,PV,AUTO POSTO PIRAI LTDA.,250000011625.0,150.0
42,ABOU ANNI,18.588.528/0001-99,2017-08-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PV,ARTE LU E RO GRAFICA EIRELI,250000011625.0,7236.0
43,ABOU ANNI,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PV,CAMARA MUNICIPAL DE SÃO PAULO,250000011625.0,8916.19
44,ADILSON AMADEU,11.913.587/0001-46,2017-01-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PTB,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,250000019125.0,5946.0
45,ADILSON AMADEU,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,1892.84
46,ADILSON AMADEU,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2058.08
47,ADILSON AMADEU,02.558.157/0001-62,2017-01-01,GABINETE DE VEREADOR,TELEFONE FIXO,PTB,TELEFONICA BRASIL S/A,250000019125.0,198.2
48,ADILSON AMADEU,02.540.850/0001-08,2017-02-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PTB,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,250000019125.0,7952.0
49,ADILSON AMADEU,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,759.19
50,ADILSON AMADEU,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
51,ADILSON AMADEU,06.226.820/0001-82,2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PTB,CENTER PAPEIS COMERCIAL LTDA.,250000019125.0,149.6
52,ADILSON AMADEU,58.706.656/0001-04,2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PTB,PAPELARIA EDUARDO PRADO LTDA ME,250000019125.0,3591.5
53,ADILSON AMADEU,02.558.157/0001-62,2017-02-01,GABINETE DE VEREADOR,TELEFONE FIXO,PTB,TELEFONICA BRASIL S/A,250000019125.0,198.2
54,ADILSON AMADEU,07.338.188/0001-21,2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PTB,EFETIVA SOLUÇÕES GRÁFICAS EIRELI - ME,250000019125.0,8000.0
55,ADILSON AMADEU,11.913.587/0001-46,2017-03-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PTB,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,250000019125.0,3000.0
56,ADILSON AMADEU,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,666.37
57,ADILSON AMADEU,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
58,ADILSON AMADEU,06.226.820/0001-82,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PTB,CENTER PAPEIS COMERCIAL LTDA.,250000019125.0,240.9
59,ADILSON AMADEU,58.706.656/0001-04,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PTB,PAPELARIA EDUARDO PRADO LTDA ME,250000019125.0,1602.4
60,ADILSON AMADEU,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,7578.74
61,ADILSON AMADEU,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
62,ADILSON AMADEU,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,27411.57
63,ADILSON AMADEU,50.176.288/0001-28,2017-05-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
64,ADILSON AMADEU,02.540.850/0001-08,2017-06-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PTB,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,250000019125.0,8000.0
65,ADILSON AMADEU,11.913.587/0001-46,2017-06-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PTB,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,250000019125.0,3000.0
66,ADILSON AMADEU,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,9344.07
67,ADILSON AMADEU,50.176.288/0001-28,2017-06-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
68,ADILSON AMADEU,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,29575.91
69,ADILSON AMADEU,50.176.288/0001-28,2017-07-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
70,ADILSON AMADEU,02.540.850/0001-08,2017-08-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PTB,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,250000019125.0,7800.0
71,ADILSON AMADEU,11.913.587/0001-46,2017-08-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PTB,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,250000019125.0,3000.0
72,ADILSON AMADEU,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,30048.58
73,ADILSON AMADEU,50.176.288/0001-28,2017-08-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
74,ADILSON AMADEU,96.241.906/0001-77,2017-09-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PTB,COKTAIL GRAFICA E EDITORA LTDA EPP,250000019125.0,8000.0
75,ADILSON AMADEU,11.913.587/0001-46,2017-09-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PTB,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,250000019125.0,3000.0
76,ADILSON AMADEU,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,4358.25
77,ADILSON AMADEU,50.176.288/0001-28,2017-09-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
78,ADILSON AMADEU,06.226.820/0001-82,2017-09-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PTB,CENTER PAPEIS COMERCIAL LTDA.,250000019125.0,290.9
79,ADILSON AMADEU,50.176.288/0001-28,2017-10-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,8568.29
80,ADILSON AMADEU,50.176.288/0001-28,2017-10-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
81,ADILSON AMADEU,50.176.288/0001-28,2017-11-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,34168.31
82,ADILSON AMADEU,50.176.288/0001-28,2017-11-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
83,ADILSON AMADEU,50.176.288/0001-28,2017-12-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,38524.79
84,ADILSON AMADEU,50.176.288/0001-28,2017-12-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PTB,CAMARA MUNICIPAL DE SÃO PAULO,250000019125.0,2101.17
85,ADRIANA RAMALHO,44.597.052/0079-22,2017-01-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,PSDB,ABRIL COMUNICAÇÕES S/A,250000004979.0,780.0
86,ADRIANA RAMALHO,61.699.179/0001-01,2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,POSTO JENNER LTDA,250000004979.0,901.0
87,ADRIANA RAMALHO,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,15.3
88,ADRIANA RAMALHO,50.176.288/0001-28,2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,1330.74
89,ADRIANA RAMALHO,06.226.820/0001-82,2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,CENTER PAPEIS COMERCIAL LTDA.,250000004979.0,1985.85
90,ADRIANA RAMALHO,60.579.703/0001-48,2017-02-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,PSDB,EMPRESA FOLHA DA MANHÃ S.A.,250000004979.0,87.9
91,ADRIANA RAMALHO,60.579.703/0031-63,2017-02-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,PSDB,EMPRESA FOLHA DA MANHÃ S.A.,250000004979.0,439.5
92,ADRIANA RAMALHO,61.699.179/0001-01,2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,POSTO JENNER LTDA,250000004979.0,1337.5
93,ADRIANA RAMALHO,24.155.170/0001-03,2017-02-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,DNA EDITORA E SOLUÇÕES EM ACESSIBILIDADE S/A,250000004979.0,198.8
94,ADRIANA RAMALHO,12.146.824/0001-53,2017-02-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,PSDB,POMINI SOCIEDADE DE ADVOGADOS,250000004979.0,7980.0
95,ADRIANA RAMALHO,15.287.788/0001-36,2017-02-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,ALEXSANDRO FERREIRA AUGUSTO,250000004979.0,2000.0
96,ADRIANA RAMALHO,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,2451.4
97,ADRIANA RAMALHO,50.176.288/0001-28,2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,2101.17
98,ADRIANA RAMALHO,12.713.356/0001-51,2017-02-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,PSDB,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,250000004979.0,1126.0
99,ADRIANA RAMALHO,06.226.820/0001-82,2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,CENTER PAPEIS COMERCIAL LTDA.,250000004979.0,94.65
100,ADRIANA RAMALHO,43.283.811/0012-02,2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,250000004979.0,198.74
101,ADRIANA RAMALHO,02.558.157/0001-62,2017-02-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PSDB,TELEFONICA BRASIL S/A,250000004979.0,55.56
102,ADRIANA RAMALHO,66.970.229/0001-67,2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,NEXTEL TELECOMUNICAÇÕES LTDA,250000004979.0,299.56
103,ADRIANA RAMALHO,60.579.703/0031-63,2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,PSDB,EMPRESA FOLHA DA MANHÃ S.A.,250000004979.0,1163.4
104,ADRIANA RAMALHO,61.533.949/0001-41,2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,PSDB,S.A O ESTADO DE S. PAULO,250000004979.0,68.9
105,ADRIANA RAMALHO,61.699.179/0001-01,2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,POSTO JENNER LTDA,250000004979.0,1363.0
106,ADRIANA RAMALHO,08.779.025/0001-47,2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,FERNANDO IGNACIO VIEIRA -ME,250000004979.0,4000.0
107,ADRIANA RAMALHO,13.505.115/0001-80,2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,PSDB,"MIX GRAFICA, EDITORA E PRODUTOS PROMOCIONAIS LTDA - ME",250000004979.0,3600.0
108,ADRIANA RAMALHO,15.287.788/0001-36,2017-03-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,ALEXSANDRO FERREIRA AUGUSTO,250000004979.0,4000.0
109,ADRIANA RAMALHO,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,1070.32
110,ADRIANA RAMALHO,50.176.288/0001-28,2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,2101.17
111,ADRIANA RAMALHO,12.713.356/0001-51,2017-03-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,PSDB,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,250000004979.0,1126.0
112,ADRIANA RAMALHO,06.226.820/0001-82,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,CENTER PAPEIS COMERCIAL LTDA.,250000004979.0,1288.35
113,ADRIANA RAMALHO,13.038.410/0001-73,2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,PSDB,MILTON DE ARAUJO GRAFICA E COPIADORA ME,250000004979.0,176.0
114,ADRIANA RAMALHO,02.558.157/0001-62,2017-03-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,PSDB,TELEFONICA BRASIL S/A,250000004979.0,95.7
115,ADRIANA RAMALHO,66.970.229/0001-67,2017-03-01,GABINETE DE VEREADOR,TELEFONE MOVEL,PSDB,NEXTEL TELECOMUNICAÇÕES LTDA,250000004979.0,152.67
116,ADRIANA RAMALHO,61.699.179/0001-01,2017-04-01,GABINETE DE VEREADOR,COMBUSTIVEL,PSDB,POSTO JENNER LTDA,250000004979.0,973.5
117,ADRIANA RAMALHO,15.287.788/0001-36,2017-04-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,PSDB,ALEXSANDRO FERREIRA AUGUSTO,250000004979.0,4000.0
118,ADRIANA RAMALHO,07.373.241/0001-25,2017-04-01,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,PSDB,VIRGU'S COMUNICAÇÃO VISUAL E ADESIVOS LTDA,250000004979.0,390.0
119,ADRIANA RAMALHO,24.355.819/0001-30,2017-04-01,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,PSDB,REAL TIME CAPTION TRANSCRIÇÃO DE AUDIO & VIDEO LTDA ME,250000004979.0,2062.5
120,ADRIANA RAMALHO,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,9.15
121,ADRIANA RAMALHO,50.176.288/0001-28,2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,PSDB,CAMARA MUNICIPAL DE SÃO PAULO,250000004979.0,2101.17
122,ADRIANA RAMALHO,12.713.356/0001-51,2017-04-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,PSDB,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,250000004979.0,1126.0
