address,biography,email,floor,name,page_link,party,phone_number,picture,room
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Mais conhecido como vereador Claudinho, Claudio Roberto Barbosa de Souza nasceu e foi criado na Vila Santa Maria, distrito do bairro do Limão na cidade de São Paulo.",vereadorclaudinho@uol.com.br,5º,Claudinho de Souza,http://www.camara.sp.gov.br/vereador/claudinho-de-souza/,PSDB,(0xx11) 3396-4255,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/claudinho-de-souza.jpg,510
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,4º,Camilo Cristófaro,http://www.camara.sp.gov.br/vereador/camilo-cristofaro/,PSB,(0xx11) 3396-4409,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/camilo_cristo_2017.jpg,404
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Celso Jatene é engajado com as causas sociais e trabalha para melhorar a qualidade de vida da população paulistana. Formado em Direito pela Universidade Mackenzie, militou nos principais movimentos da época, como os da Anistia (final da década de 70) e das Diretas Já (1984).",vereador@celsojatene.com.br,9º,Celso Jatene,http://www.camara.sp.gov.br/vereador/celso-jatene/,PR,(0xx11) 3396-4472,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/celso_jatene2017.jpg,914
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Caio Miranda Carneiro, nascido em 1982, assume seu primeiro mandato na Câmara Municipal de São Paulo aos 34 anos de idade. Formado pela Faculdade de Direito do Largo de São Francisco, da USP, o paulistano, antes de ser eleito vereador, foi presidente do centenário Centro Acadêmico XI de Agosto, voluntário no Departamento Jurídico dessa mesma instituição para assistência jurídica à população de baixa renda, conselheiro da Associação dos Antigos Alunos da FDUSP e trabalhou no Tribunal de Contas do Estado de São Paulo, com especialização em responsabilidade fiscal e combate à corrupção. Caio também aposta em seus vídeos na internet como uma importante forma de democratizar o debate político e de difundir suas ideias.",,6º,Caio Miranda Carneiro,http://www.camara.sp.gov.br/vereador/caio-miranda-carneiro/,PSB,(0xx11) 3396-4403,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/caio-vereador.jpg,623
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Aurélio Nomura é vereador e líder da bancada do PSDB na Câmara Municipal de São Paulo. É advogado, filho do destacado e respeitado deputado (federal e estadual) de São Paulo, o saudoso Diogo Nomura. O vereador foi por cinco vezes aprovado nas urnas com expressiva votação, o que mostra a confiança dos eleitores de todas as comunidades por seu trabalho, honestidade, dignidade, seriedade e pela atuação transparente.",nomura@camara.sp.gov.br,6º,Aurélio Nomura,http://www.camara.sp.gov.br/vereador/aurelio-nomura/,PSDB,(0xx11) 3396-4642,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/aurelio-nomura.jpg,618
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","José Arivaldo Rodrigues, 48 anos, casado, pai de 2 filhos, é popularmente conhecido como Zé Turin. Mineiro, nascido na cidade de Santa Maria do Salto, MG, filho caçula de uma família humilde constituída por dez irmãos. Começou a trabalhar ainda criança com 08 anos, aos 11 anos de idade mudou-se junto com a família para a cidade de São Paulo e se instalou na região da zona sul onde mora até hoje. Foi no Bairro de Santo Amaro que Zé Turin cresceu, casou, teve filhos, montou seu negócio próprio e se tornou um empresário de sucesso, sempre caminhando lado a lado com a comunidade.",zeturin@camara.sp.gov.br,11º,Zé Turin,http://www.camara.sp.gov.br/vereador/ze-turin/,PHS,(0xx11) 3396-5109,http://www.camara.sp.gov.br/wp-content/uploads/2016/12/ze-turin.jpg,1117
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Senival Pereira de Moura, mais conhecido como Senival, nasceu em Batalha, cidade do estado de Alagoas, em 27 de abril de 1965. Ele é um dos nove filhos do casal Francisco Pereira Sobrinho e Ivete Pereira de Moura. Família que chegou a São Paulo em 1977 e se enraizou em Guaianases, bairro da Zona Leste da cidade paulistana. Senival é casado com Maria de Lurdes Andrade de Moura e pai de Ítalo e Vitor. Estudou no bairro (concluiu o colegial – hoje ensino médio).",senival.pt@ig.com.br,10º,Senival Moura,http://www.camara.sp.gov.br/vereador/senival-moura/,PT,(0xx11) 3396-4530,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/senival-moura.jpg,1008
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",SOUZA SANTOS foi reeleito em 2016 o 8° Vereador mais bem votado na cidade de São Paulo na 17ª legislatura (2017/ 2020) com 55.924 votos.,souzasantos@camara.sp.gov.br,10º,Souza Santos,http://www.camara.sp.gov.br/vereador/souza-santos/,PRB,(0xx11) 3396-4242,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/Vereador_SouzaSantos_2017v2.jpg,1015
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Toninho Vespoli nasceu na Zona Leste e atua nos movimentos sociais das regiões de Sapopemba e Vila Prudente. Líder comunitário, foi comerciante, professor de matemática na rede pública e mestrando na Universidade Federal da ABC.",toninhovespoli@camara.sp.gov.br,3º,Toninho Vespoli,http://www.camara.sp.gov.br/vereador/toninho-vespoli/,PSOL,(0xx11) 3396-4655,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/toninho-vespoli.jpg,304
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Evangélica há mais de 12 anos, Sandra Tadeu nasceu em Guarulhos, na Grande São Paulo.",sandratadeu@camara.sp.gov.br,7º,Sandra Tadeu,http://www.camara.sp.gov.br/vereador/sandra-tadeu/,DEM,(0xx11) 3396-4244,http://www.camara.sp.gov.br/wp-content/uploads/2015/10/Foto-oficial-vereadora-Sandra-Tadeu-sem-fundo-31.jpg,715
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Antonio de Paiva Monteiro Filho, nasceu no Bairro do Tatuapé. Fez o curso primário no Educandário Espírito Santo e o Secundário na Escola Estadual de Primeiro e Segundo Grau 'Homero Milano'. Em 1974 ingressou no serviço público exercendo vários cargos como: Secretário de Gabinete da Caixa Econômica Estadual (atual Secretaria de Habitação do Estado de São Paulo); Chefia de Gabinete da Prefeitura Municipal de Poá; Conselheiro da Companhia de Processamento de Dados (PRODAM); Assessor da Presidência da (SABESP); Secretário Parlamentar na Assembléia Legislativa do Estado de São Paulo por 16 anos e Assessor Parlamentar na Câmara Federal, em Brasília por 7 anos.",vereador@toninhopaiva.com.br,11º,Toninho Paiva,http://www.camara.sp.gov.br/vereador/toninho-paiva/,PR,(0xx11) 3396-4335,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/toninho-paiva.jpg,1121
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,10º,Sâmia Bomfim,http://www.camara.sp.gov.br/vereador/samia-bomfim/,PSOL,(0xx11) 3396-4305,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/samia_bomfim_2017.jpg,1006
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,11º,Rodrigo Goulart,http://www.camara.sp.gov.br/vereador/rodrigo-goulart/,PSD,,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/Rodrigo_Goulart_2017.jpg,1107
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,10º,Rute Costa,http://www.camara.sp.gov.br/vereador/rute-costa/,PSD,,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/rute_costa_2017.jpg,1016
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,3º,Reginaldo Tripoli,http://www.camara.sp.gov.br/vereador/reginaldo-tripoli/,PV,,http://www.camara.sp.gov.br/wp-content/uploads/2017/02/Vereador_ReginaldoTripoli_2017v2.jpg,308
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Paulo Batista dos Reis é formado em Ciências Jurídicas pela Universidade São Francisco. Iniciou sua vida profissional na CMTC, onde participou de atividades do movimento sindical. Foi condutor, metalúrgico, policial militar, professor da Rede Estadual de Ensino e policial civil.",reisvereador13651@gmail.com,7º,Reis,http://www.camara.sp.gov.br/vereador/reis/,PT,(0xx11) 3396-4499,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/reis.jpg,706
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Acostumado a trabalhar desde sua juventude, Ricardo Nunes estreou como jovem empreendedor em seu primeiro negócio com a fundação do Jornal de Bairro “Hora de Ação”.",ricardonunes@camara.sp.gov.br,9º,Ricardo Nunes,http://www.camara.sp.gov.br/vereador/ricardo-nunes/,PMDB,(0xx11) 3396-4063,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/ricardo-nunes.jpg,908
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Rodrigo Gomes tem 34 anos, é casado e pai de duas filhas. Estudou em escola pública, fez o ensino médio técnico em eletrônica e se formou em Engenharia da Computação. Durante mais de 11 anos trabalhou como programador e desenvolvedor de sistemas.",,7º,Rodrigo Gomes,http://www.camara.sp.gov.br/vereador/rodrigo-gomes/,PHS,(0xx11) 3396-4213,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/RodrigoGomes_2017.jpg,709
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",Quem é Ricardo Teixeira,ricardoteixeira@camara.sp.gov.br,6º,Ricardo Teixeira,http://www.camara.sp.gov.br/vereador/31455/,PROS,(0xx11) 3396-4261,http://www.camara.sp.gov.br/wp-content/uploads/2016/02/rteixeira_lan16-1.jpg,612
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Quito Formiga (Marcus Vinicius de Almeida Ferreira) é paulistano. Cursou Comunicação Social, com ênfase em Publicidade e Propaganda. Ocupou cargos de liderança na área comercial em empresas multinacionais.",quitoformiga@camara.sp.gov.br,3º,Quito Formiga,http://www.camara.sp.gov.br/vereador/quito-formiga/,PSDB,(0xx11) 3396-4287,http://www.camara.sp.gov.br/wp-content/uploads/2015/03/quito-formiga-2017-1.jpg,313
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Claudio Gomes Fonseca nasceu no Belém, bairro da Zona Leste da cidade de São Paulo, em 1956. Retorna à Câmara Municipal de São Paulo para o seu terceiro mandato como vereador.",professorclaudiofonseca@camara.sp.gov.br,6°,Claudio Fonseca,http://www.camara.sp.gov.br/vereador/claudio-fonseca-2/,PPS,(0xx11) 3396-4265,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/professor_claudinho.jpg,616
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Candidato pela primeira vez a um cargo público em 2016, Rinaldi Digilio, 41 anos, obteve 20.916 votos nas últimas eleições municipais e foi eleito vereador da cidade de São Paulo pelo Partido Republicano Brasileiro (PRB).",,4º,Rinaldi Digilio,http://www.camara.sp.gov.br/vereador/rinaldi-digilio/,PRB,(0xx11) 3396-5024,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/rinaldi.jpg,407
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Paulistano, o empresário Milton Leite foi eleito pela primeira vez vereador em 1996. Foi reeleito em 2000, 2004 e 2008, atualmente no quarto mandato. Este ano, Milton Leite exerce os seguintes cargos na Câmara Municipal de São Paulo: Segundo Secretário da Mesa Diretora; Componente da Corregedoria; Membro da Comissão Permanente de Finanças e Orçamento e Relator do Orçamento 2011; Integrante da CPI 2010 – Enchentes.",miltonleite@camara.sp.gov.br,7º,Milton Leite,http://www.camara.sp.gov.br/vereador/milton-leite/,DEM,(0xx11) 3396-4237,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/milton-leite.jpg,719
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Noemi Nonato, hoje em seu terceiro mandato como vereadora por São Paulo, sempre desenvolveu trabalhos sociais junto à população menos favorecida, tendo inúmeros Projetos de Leis sancionados pelo prefeito, hoje “Leis” que beneficiam a nossa tão sofrida população.",noeminonato@camara.sp.gov.br,11º,Noemi Nonato,http://www.camara.sp.gov.br/vereador/noemi-nonato/,PR,(0xx11) 3396-4341,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/noemi-novato.jpg,1116
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Mario Covas Neto, filho do saudoso governador Mario Covas, é advogado e foi reeleito vereador nas eleições de 2016 com 75.583 votos, sendo o parlamentar mais votado do PSDB.",covas@camara.sp.gov.br,5º,Mario Covas Neto,http://www.camara.sp.gov.br/vereador/mario-covas-neto/,PSDB,(0xx11) 3396-4444,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/Vereador_MarioCovas_2017v2.jpg,504
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Mineiro, de Uberaba, MG, nasceu em 19 de setembro de 1952, é filho de José Frange e Teresinha Sousa Frange. Médico cardiologista formado pela Faculdade de Medicina do Triângulo Mineiro, prestou vestibular e iniciou o curso aos 17 anos. Foi médico residente do Instituto Dante Pazzanese. Diretor Clínico do Hospital São Camilo de Santana por 15 anos (1982 – 1997). Coordenador Médico GH São Camilo - Instituição Filantrópica que administrou cerca de 100 hospitais filantrópicos no Brasil, por 10 anos, distribuídos em 14 estados.",paulofrange@camara.sp.gov.br,11º,Paulo Frange,http://www.camara.sp.gov.br/vereador/paulo-frange/,PTB,(0xx11) 3396-4428,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/paulo-frange.jpg,1106
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Juliana Cardoso é a imagem da mulher brasileira: trabalhadora, esposa, mãe, descendente indígena, militante do movimento popular e educadora cultural.",julianacardosopt@camara.sp.gov.br,4º,Juliana Cardoso,http://www.camara.sp.gov.br/vereador/juliana-cardoso/,PT,(0xx11) 3396-4315,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/juliana-cardoso.jpg,408
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Masataka OTA nasceu em 1956, em Tomigusuku, Okinawa. É naturalizado – chegou com a família ao Brasil com apenas um ano. Comerciante na zona leste da capital paulista, é casado com a deputada federal Keiko Ota há 30 anos e pai de três filhos: Vanessa, Ives e Ises.",ota@camara.sp.gov.br,11º,Ota,http://www.camara.sp.gov.br/vereador/ota/,PSB,(0xx11) 3396-4542,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/ota.jpg,1114
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900",texto em elaboração,,3º,João Jorge,http://www.camara.sp.gov.br/vereador/joao-jorge/,PSDB,(0xx11) 3396-4254,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/joao_jorge_2017.jpg,307
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","José Police Neto, 43 anos, está em seu terceiro mandato como vereador na cidade de São Paulo. Foi presidente da Câmara em 2011, reeleito em 2012. Pesquisador Social, cursou Ciências Sociais na Universidade Federal de São Carlos. Aos 21 anos iniciou sua carreira no ambiente público ao trabalhar na Assembleia Legislativa de São Paulo como assessor parlamentar e chefe de gabinete. Coordenou a campanha de Mário Covas e de Geraldo Alckmin ao governo do Estado de São Paulo. Foi presidente do Diretório Municipal do PSDB na capital paulista de 2000 a 2002, partido ao qual esteve filiado por mais de 20 anos.",policeneto@camara.sp.gov.br,5º,José Police Neto,http://www.camara.sp.gov.br/vereador/jose-police-neto/,PSD,(0xx11) 3396-4260,http://www.camara.sp.gov.br/wp-content/uploads/2015/03/Police_perfil.jpg,509
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","O empresário e consultor internacional, Gilberto Nascimento Jr, nasceu em 1979, em São Paulo. Formado pelo tradicional Colégio da Polícia Militar, o paulistano Gilberto Nascimento cursou Relações Internacionais, além de especializações em Desenvolvimento de Projetos e Gestão Pública na University of La Verne, na Califórnia.",,4º,Gilberto Nascimento,http://www.camara.sp.gov.br/vereador/gilberto-nascimento/,PSC,(0xx11) 3396-4405,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/gilberto_nascimentoJR_2017.jpg,415
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Isac Félix, casado, paulistano, sempre viveu na região de Santo Amaro. É cristão e tem formação em Teologia pela Universidade Presbiteriana Mackenzie de São Paulo.",vereadorisacfelix@camara.sp.gov.br,5°,Isac Felix,http://www.camara.sp.gov.br/vereador/isac-felix/,PR,(0xx11) 3396-4406,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/isac_felix_2017.jpg,520
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Janaína Lima tem 33 anos, é casada e mãe do João Pedro. Nasceu no Capão Redondo, periferia de São Paulo e autoalfabetizou-se aos cinco anos de idade.",gabinetejanainalima@camara.sp.gov.br,6º,Janaina Lima,http://www.camara.sp.gov.br/vereador/janaina-lima/,NOVO,(0xx11) 3396-4982,http://www.camara.sp.gov.br/wp-content/uploads/2017/01/janaina_lima_2017.jpg,607
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","O vereador Gilson Barreto nasceu em 22 de novembro de 1944. Empresário do setor de contabilidade, advogado, ex-professor e ex-agente fiscal de rendas do Estado, exerce o seu sexto mandato parlamentar e atualmente é o presidente da comissão de Administração Pública. Fundador do PSDB, foi vice-presidente do diretório municipal do partido em São Paulo, vice-líder da bancada na Câmara Municipal, líder do governo e duas vezes segundo vice-presidente da Câmara Municipal.  Em 2011, Gilson foi presidente da Comissão de Trânsito, Transporte, Atividade Econômica, Turismo, Lazer e Gastronomia, na Câmara Municipal. O parlamentar tem apresentado, ao longo de todos os seus mandatos, várias dezenas de projetos, muitos dos quais resultaram em lei. Gilson também fez milhares de indicações de obras e serviços públicos, encaminhadas a diversos órgãos municipais, estaduais e federais, em atendimento às reivindicações da comunidade, e tem sido responsável por muitas emendas ao orçamento do Município, garantindo a execução de obras públicas.",gilsonbarreto@camara.sp.gov.br,7º,Gilson Barreto,http://www.camara.sp.gov.br/vereador/gilson-barreto/,PSDB,(0xx11) 3396-4310,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/gilson-barreto.jpg,721
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Jair José Tatto é natural de Corbélia (PR) e nasceu em 17/06/1968. Trabalhou como técnico em contabilidade, office-boy, auxiliar de contabilidade e assistente administrativo.",jairtatto@camara.sp.gov.br,10º,Jair Tatto,http://www.camara.sp.gov.br/vereador/jair-tatto/,PT,(0xx11) 3396-4294,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/jair-tatto.jpg,1018
"Câmara Municipal de São Paulo - Palácio Anchieta - Viaduto Jacareí, 100 - CEP 01319-900","Médico e defensor do esporte, George Hato foi eleito vereador pelo PMDB, sendo o segundo mais votado da coligação “São Paulo em Primeiro Lugar”. Trabalhou em unidades médicas da Zona Leste, prestando atendimento à população mais carente.",gvhato@camara.sp.gov.br,5º,George Hato,http://www.camara.sp.gov.br/vereador/george-hato/,PMDB,(0xx11) 3396-4298,http://www.camara.sp.gov.br/wp-content/uploads/2014/10/george-hato.jpg,515
