,date,candidate,department,expense,value,provider,CNPJ,sequential_id
20,2017-04-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,7580.0,ITALIVROS - LIVRARIA E PAPELARIA LTDA.,67.933.200/0001-78,250000011625
21,2017-04-01,ABOU ANNI,GABINETE DE VEREADOR,TELEFONE MOVEL,196.35,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
22,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,1050.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
23,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,155.51,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00,250000011625
24,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7840.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
25,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,18220.48,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
26,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,656.35,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000011625
27,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,2187.0,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,250000011625
28,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,73.5,KALUNGA COMÉRCIO INDUSTRIA GRÁFICA LTDA,43.283.811/0139-95,250000011625
29,2017-05-01,ABOU ANNI,GABINETE DE VEREADOR,TELEFONE MOVEL,197.69,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
30,2017-06-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,700.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
31,2017-06-01,ABOU ANNI,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7888.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
32,2017-06-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,34083.08,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
33,2017-06-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,2187.0,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,250000011625
34,2017-06-01,ABOU ANNI,GABINETE DE VEREADOR,TELEFONE MOVEL,201.33,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
35,2017-07-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,350.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
36,2017-07-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,100.0,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00,250000011625
37,2017-07-01,ABOU ANNI,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7236.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
38,2017-07-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,34530.36,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
39,2017-07-01,ABOU ANNI,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,219.5,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000011625
40,2017-08-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
41,2017-08-01,ABOU ANNI,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00,250000011625
42,2017-08-01,ABOU ANNI,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7236.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
43,2017-08-01,ABOU ANNI,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,8916.19,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
44,2017-01-01,ADILSON AMADEU,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,5946.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125
45,2017-01-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,1892.84,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
46,2017-01-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2058.08,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
47,2017-01-01,ADILSON AMADEU,GABINETE DE VEREADOR,TELEFONE FIXO,198.2,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000019125
48,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7952.0,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,02.540.850/0001-08,250000019125
49,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,759.19,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
50,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
51,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,149.6,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000019125
52,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,3591.5,PAPELARIA EDUARDO PRADO LTDA ME,58.706.656/0001-04,250000019125
53,2017-02-01,ADILSON AMADEU,GABINETE DE VEREADOR,TELEFONE FIXO,198.2,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000019125
54,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,8000.0,EFETIVA SOLUÇÕES GRÁFICAS EIRELI - ME,07.338.188/0001-21,250000019125
55,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125
56,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,666.37,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
57,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
58,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,240.9,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000019125
59,2017-03-01,ADILSON AMADEU,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1602.4,PAPELARIA EDUARDO PRADO LTDA ME,58.706.656/0001-04,250000019125
60,2017-04-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,7578.74,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
61,2017-04-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
62,2017-05-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,27411.57,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
63,2017-05-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
64,2017-06-01,ADILSON AMADEU,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,8000.0,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,02.540.850/0001-08,250000019125
65,2017-06-01,ADILSON AMADEU,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125
66,2017-06-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,9344.07,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
67,2017-06-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
68,2017-07-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,29575.91,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
69,2017-07-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
70,2017-08-01,ADILSON AMADEU,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,7800.0,PHUTURA INOVAÇÕES GRAFICAS LTDA-ME,02.540.850/0001-08,250000019125
71,2017-08-01,ADILSON AMADEU,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125
72,2017-08-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,30048.58,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
73,2017-08-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
74,2017-09-01,ADILSON AMADEU,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,8000.0,COKTAIL GRAFICA E EDITORA LTDA EPP,96.241.906/0001-77,250000019125
75,2017-09-01,ADILSON AMADEU,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125
76,2017-09-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,4358.25,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
77,2017-09-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
78,2017-09-01,ADILSON AMADEU,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,290.9,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000019125
79,2017-10-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,8568.29,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
80,2017-10-01,ADILSON AMADEU,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125
81,2017-01-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,780.0,ABRIL COMUNICAÇÕES S/A,44.597.052/0079-22,250000004979
82,2017-01-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMBUSTIVEL,901.0,POSTO JENNER LTDA,61.699.179/0001-01,250000004979
83,2017-01-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,15.3,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
84,2017-01-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,1330.74,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
85,2017-01-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1985.85,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979
86,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,87.9,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0001-48,250000004979
87,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,439.5,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,250000004979
88,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMBUSTIVEL,1337.5,POSTO JENNER LTDA,61.699.179/0001-01,250000004979
89,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,198.8,DNA EDITORA E SOLUÇÕES EM ACESSIBILIDADE S/A,24.155.170/0001-03,250000004979
90,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,7980.0,POMINI SOCIEDADE DE ADVOGADOS,12.146.824/0001-53,250000004979
91,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,2000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979
92,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,2451.4,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
93,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
94,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979
95,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,94.65,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979
96,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,198.74,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0012-02,250000004979
97,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,55.56,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979
98,2017-02-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,TELEFONE MOVEL,299.56,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979
99,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,1163.4,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,250000004979
100,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,68.9,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,250000004979
101,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMBUSTIVEL,1363.0,POSTO JENNER LTDA,61.699.179/0001-01,250000004979
102,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,4000.0,FERNANDO IGNACIO VIEIRA -ME,08.779.025/0001-47,250000004979
103,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,3600.0,"MIX GRAFICA, EDITORA E PRODUTOS PROMOCIONAIS LTDA - ME",13.505.115/0001-80,250000004979
104,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,4000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979
105,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,1070.32,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
106,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
107,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979
108,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1288.35,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979
109,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,176.0,MILTON DE ARAUJO GRAFICA E COPIADORA ME,13.038.410/0001-73,250000004979
110,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,95.7,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979
111,2017-03-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,TELEFONE MOVEL,152.67,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979
112,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMBUSTIVEL,973.5,POSTO JENNER LTDA,61.699.179/0001-01,250000004979
113,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,4000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979
114,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,390.0,VIRGU'S COMUNICAÇÃO VISUAL E ADESIVOS LTDA,07.373.241/0001-25,250000004979
115,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,2062.5,REAL TIME CAPTION TRANSCRIÇÃO DE AUDIO & VIDEO LTDA ME,24.355.819/0001-30,250000004979
116,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,9.15,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
117,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979
118,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979
119,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,517.1,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979
120,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,35.0,MILTON DE ARAUJO GRAFICA E COPIADORA ME,13.038.410/0001-73,250000004979
121,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,95.7,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979
122,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,REPROGRAFIA (XEROX/ENCADERNAÇÃO),60.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000004979
123,2017-04-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,TELEFONE MOVEL,131.76,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979
124,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMBUSTIVEL,1190.0,POSTO JENNER LTDA,61.699.179/0001-01,250000004979
125,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,2150.0,J.L.E. GRÁFICA E EDITORA LTDA - EPP,03.584.717/0001-16,250000004979
126,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,310.0,CONDE e DELL ARINGA - DESENVOLVIMENTO DE SOFTWARES LTDA - EPP,09.613.772/0001-73,250000004979
127,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,4000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979
128,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,350.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000004979
129,2017-05-01,ADRIANA RAMALHO,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,2062.5,REAL TIME CAPTION TRANSCRIÇÃO DE AUDIO & VIDEO LTDA ME,24.355.819/0001-30,250000004979
