date,department,expense,value,provider,cnpj,sequential_id
2017-02-01,GABINETE DE VEREADOR,TELEFONE FIXO,198.2,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000019125.0
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,8000.0,EFETIVA SOLUÇÕES GRÁFICAS EIRELI - ME,07.338.188/0001-21,250000019125.0
2017-03-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GENERICAPONTOCOM SERVIÇOS DE INTERNET LTDA,11.913.587/0001-46,250000019125.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,666.37,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,240.9,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000019125.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1602.4,PAPELARIA EDUARDO PRADO LTDA ME,58.706.656/0001-04,250000019125.0
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,7578.74,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125.0
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000019125.0
2017-01-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,260.0,ABRIL COMUNICAÇÕES S/A,44.597.052/0079-22,250000004979.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,901.0,POSTO JENNER LTDA,61.699.179/0001-01,250000004979.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,15.3,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,1330.74,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1985.85,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979.0
2017-02-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,87.9,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0001-48,250000004979.0
2017-02-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,263.7,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,250000004979.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,1337.5,POSTO JENNER LTDA,61.699.179/0001-01,250000004979.0
2017-02-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,198.8,DNA EDITORA E SOLUÇÕES EM ACESSIBILIDADE S/A,24.155.170/0001-03,250000004979.0
2017-02-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,7980.0,POMINI SOCIEDADE DE ADVOGADOS,12.146.824/0001-53,250000004979.0
2017-02-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,2000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,2451.4,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-02-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979.0
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,94.65,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979.0
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,198.74,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA.,43.283.811/0012-02,250000004979.0
2017-02-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,55.56,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979.0
2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,299.56,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979.0
2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,581.7,EMPRESA FOLHA DA MANHÃ S.A.,60.579.703/0031-63,250000004979.0
2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,68.9,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,250000004979.0
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,1363.0,POSTO JENNER LTDA,61.699.179/0001-01,250000004979.0
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,4000.0,FERNANDO IGNACIO VIEIRA -ME,08.779.025/0001-47,250000004979.0
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,3600.0,"MIX GRAFICA, EDITORA E PRODUTOS PROMOCIONAIS LTDA - ME",13.505.115/0001-80,250000004979.0
2017-03-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,4000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,1070.32,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-03-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1288.35,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,176.0,MILTON DE ARAUJO GRAFICA E COPIADORA ME,13.038.410/0001-73,250000004979.0
2017-03-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,95.7,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979.0
2017-03-01,GABINETE DE VEREADOR,TELEFONE MOVEL,152.67,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979.0
2017-04-01,GABINETE DE VEREADOR,COMBUSTIVEL,973.5,POSTO JENNER LTDA,61.699.179/0001-01,250000004979.0
2017-04-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,4000.0,ALEXSANDRO FERREIRA AUGUSTO,15.287.788/0001-36,250000004979.0
2017-04-01,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,390.0,VIRGU'S COMUNICAÇÃO VISUAL E ADESIVOS LTDA,07.373.241/0001-25,250000004979.0
2017-04-01,GABINETE DE VEREADOR,EVENTOS/SEMINARIOS,2062.5,REAL TIME CAPTION TRANSCRIÇÃO DE AUDIO & VIDEO LTDA ME,24.355.819/0001-30,250000004979.0
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,9.15,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000004979.0
2017-04-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1126.0,PJRS LOCAÇÃO E COMÉRCIO DE EQUIPAMENTOS DE INFORMÁTICA LTDA,12.713.356/0001-51,250000004979.0
2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,517.1,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000004979.0
2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,35.0,MILTON DE ARAUJO GRAFICA E COPIADORA ME,13.038.410/0001-73,250000004979.0
2017-04-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,95.7,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000004979.0
2017-04-01,GABINETE DE VEREADOR,REPROGRAFIA (XEROX/ENCADERNAÇÃO),60.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000004979.0
2017-04-01,GABINETE DE VEREADOR,TELEFONE MOVEL,131.76,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000004979.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,296.53,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,250000022073.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,AUTO POSTO ASTORGA LTDA ME,10.627.882/0001-73,250000022073.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,170.0,POSTO PASSARELA ARICANDUVA LTDA,11.415.145/0001-70,250000022073.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,AQUARIUM AUTO POSTO LTDA,65.391.146/0001-50,250000022073.0
2017-01-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,4760.77,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,250000022073.0
2017-01-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GABRIEL WILLIAM DIAS,14.028.313/0001-62,250000022073.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,1050.59,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1781.82,FMJ COMÉRCIO E ASSISTENCIA TÉCNICA EM COPIADORAS LTDA ME,07.915.380/0001-33,250000022073.0
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1550.9,NOVA VIDA PAPELARIA E COLETOR DIGITAL LTDA ME,25.321.968/0001-40,250000022073.0
2017-01-01,GABINETE DE VEREADOR,TELEFONE MOVEL,218.82,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000022073.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,1083.76,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,250000022073.0
2017-02-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,1197.0,ART IMPRESSA GRÁFICA E EDITORA LTDA ME,08.167.229/0001-27,250000022073.0
2017-02-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,931.54,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,250000022073.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-02-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1710.0,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,250000022073.0
2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,214.35,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000022073.0
2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,499.0,EDITORA CONFIANÇA LTDA.,04.735.670/0001-07,250000022073.0
2017-03-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,68.9,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,250000022073.0
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,1236.47,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,250000022073.0
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,650.0,ART IMPRESSA GRÁFICA E EDITORA LTDA ME,08.167.229/0001-27,250000022073.0
2017-03-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,7000.0,SHIHARA FREIRE PEREIRA SOCIEDADE DE ADVOGADOS,26.052.128/0001-92,250000022073.0
2017-03-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,940.0,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,250000022073.0
2017-03-01,GABINETE DE VEREADOR,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,3000.0,GABRIEL WILLIAM DIAS,14.028.313/0001-62,250000022073.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-03-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,2090.0,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,250000022073.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,964.9,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000022073.0
2017-03-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,50.53,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000022073.0
2017-03-01,GABINETE DE VEREADOR,TELEFONE MOVEL,353.51,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000022073.0
2017-04-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,68.9,S.A O ESTADO DE S. PAULO,61.533.949/0001-41,250000022073.0
2017-04-01,GABINETE DE VEREADOR,COMBUSTIVEL,1378.49,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,250000022073.0
2017-04-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,7000.0,SHIHARA FREIRE PEREIRA SOCIEDADE DE ADVOGADOS,26.052.128/0001-92,250000022073.0
2017-04-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,940.0,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,250000022073.0
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-04-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,2090.0,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,250000022073.0
2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,479.15,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000022073.0
2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,800.0,FMJ COMÉRCIO E ASSISTENCIA TÉCNICA EM COPIADORAS LTDA ME,07.915.380/0001-33,250000022073.0
2017-04-01,GABINETE DE VEREADOR,PROVEDOR DE INTERNET,65.9,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000022073.0
2017-04-01,GABINETE DE VEREADOR,TELEFONE MOVEL,318.44,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,250000022073.0
2017-01-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,499.0,EDITORA CONFIANÇA LTDA.,04.735.670/0001-07,250000022074.0
2017-01-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,180.0,EDITORA CAROS AMIGOS LTDA,08.254.606/0001-65,250000022074.0
2017-01-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,150.0,PALAVRA LIVRE,14.620.529/0001-12,250000022074.0
2017-01-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,3468.5,CRIAGRAPHY DESING E WEBDESING LTDA ME,09.001.036/0001-64,250000022074.0
2017-01-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,330.0,TECNEGOCIOS SOLUÇOES EM INFORMATICA LTDA- ME,11.521.613/0001-90,250000022074.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2058.08,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022074.0
2017-01-01,GABINETE DE VEREADOR,REPROGRAFIA (XEROX/ENCADERNAÇÃO),7848.72,TOP MANUSEIO SOLUÇÕES LOGISTICAS GRAFICAS E POSTAIS LTDA-ME,23.826.867/0001-04,250000022074.0
2017-02-01,GABINETE DE VEREADOR,ASSINATURA DE JORNAIS E REVISTAS,655.2,ABRIL COMUNICAÇÕES S/A,44.597.052/0079-22,250000022074.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,1033.76,TONINHO TRINTA AUTO POSTO LTDA,59.469.775/0001-53,250000022074.0
2017-02-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,330.0,TECNEGOCIOS SOLUÇOES EM INFORMATICA LTDA- ME,11.521.613/0001-90,250000022074.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022074.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),19.26,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022074.0
2017-02-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1930.0,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,250000022074.0
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,5995.2,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000022074.0
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,262.47,TONINHO TRINTA AUTO POSTO LTDA,59.469.775/0001-53,250000022074.0
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,3500.0,CRIAGRAPHY DESING E WEBDESING LTDA ME,09.001.036/0001-64,250000022074.0
2017-03-01,GABINETE DE VEREADOR,CONTRATAÇAO DE PESSOA JURIDICA,330.0,TECNEGOCIOS SOLUÇOES EM INFORMATICA LTDA- ME,11.521.613/0001-90,250000022074.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,115.47,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022074.0
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,2101.17,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022074.0
2017-03-01,GABINETE DE VEREADOR,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,1930.0,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,22.392.165/0001-99,250000022074.0
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,4997.05,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000022074.0
2017-03-01,GABINETE DE VEREADOR,REPROGRAFIA (XEROX/ENCADERNAÇÃO),6960.0,TOP MANUSEIO SOLUÇÕES LOGISTICAS GRAFICAS E POSTAIS LTDA-ME,23.826.867/0001-04,250000022074.0
2017-04-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,2500.0,CRIAGRAPHY DESING E WEBDESING LTDA ME,09.001.036/0001-64,250000022074.0
